Nomenclatura  DCB (Original),Número DCB,Nomenclatura  DCI - INN,CAS Number,NCM,NVE
Eritromicina,3490,Erythromycin,114-07-8,2941.50.20,NVE
Escina,3510,Escin,6805-41-0,2938.90.90,NVE
Escitalopram  ,3512,Escitalopram,128196-01-0,2932.99.99,NVE
Escopolamina,3514,Scopolamine,51-34-3,2939.79.19,NVE
Esculina,3520,Esculin,531-75-9,2938.90.90,NVE
Esmolol,3525,Esmolol,81147-92-4,2922.19.99,NVE
Esomeprazol,3527,Esomeprazol,119141-88-7,2933.39.49,NVE
Esomeprazol Magnésico,3528,Esomeprazol Magnesium,217087-09-7,2933.39.49,NVE
Esomeprazol Magnésico Di-Hidratado,10635,Esomeprazole Magnesium Dihydrate,217087-10-0,2933.39.49,NVE
Esomeprazol Magnésico Tri-Hidratado,10636,Esomeprazole Magnesium Trihydrate,217087-09-7,2933.39.49,NVE
Esomeprazol Sódico,3529,Esomeprazole Sodium,161796-78-7,2933.39.49,NVE
Esparfloxacino,3533,Sparfloxacin,110871-86-8,2933.59.19,NVE
Esparteína,3535,Spartein,90-39-1,2939.80.00,NVE
Espectinomicina,3538,Spectinomycin,1695-77-8,2941.90.99,NVE
Espiramicina,3546,Spiramycin,8025-81-8,2941.90.59,NVE
Estanolona  ,n.d.,Stanolone,521-18-6,2937.29.90,NVE
Estanozolol  ,3572,Stanozolol,10418-03-8,2937.29.90,NVE
Estavudina,3574,Stavudine,3056-17-5,2934.99.27,NVE
Estazolam  ,3575,Estazolam,29975-16-4,2933.91.23,NVE
Estearato de Cloranfenicol,2339,Chloramphenicol Stearate,16255-48-4,2941.40.19,NVE
Estearato de Eritromicina,3492,Erythromycin Stearate,643-22-1,2941.50.20,NVE
Estolato de Eritromicina,3494,Erythromycin Estolate,3521-62-8,2941.50.20,NVE
Estradiol,3595,Estradiol,50-28-2,2937.23.49,NVE
Estreptomicina,3619,Streptomycin,57-92-1,2941.20.90,NVE
Estreptozocina,3625,Streptozocin,18883-66-4,2932.99.99,NVE
Estriol,9436,Estriol,50-27-1,2937.23.31,NVE
Estrona,3630,Estrone,53-16-7,2937.23.99,NVE
Etabonato de Loteprednol,5439,Loteprednol Etabonate,82034-46-6,2937.90.90,NVE
Etafedrina  ,3637,Etafedrine,7681-79-0,2939.49.00,NVE
Etambutol,3641,Ethambutol,74-55-5,2922.19.99,NVE
Etansilato,3649,Etamsylate,2624-44-4,2921.19.19,NVE
Etenzamida,3662,Ethenzamide,938-73-8,2924.29.99,NVE
Etilefrina,3678,Etilefrine,709-55-7,2922.50.99,NVE
Etilestrenol  ,3683,Ethylestrenol,965-90-2,2937.23.99,NVE
Etilsuccinato de Eritromicina,3495,Erythromycin Ethylsuccinate,41342-53-4,2941.50.20,NVE
Etinilestradiol,3699,Ethinyl Estradiol,57-63-6,2937.23.49,NVE
Etinodiol,3700,Ethynodiol,1231-93-2,2937.23.99,NVE
Etionamida,3704,Ethionamide,536-33-4,2933.39.99,NVE
Etodolaco,3716,Etodolac,41340-25-4,2934.99.99,NVE
Etofamida,3719,Etofamide,25287-60-9,2924.29.99,NVE
Etofenamato,3721,Etofenamate,30544-47-9,2922.49.90,NVE
Etofibrato,3722,Etofibrate,31637-97-5,2933.39.99,NVE
Etofilina,3723,Etofylline,519-37-9,2939.59.90,NVE
Etomidato  ,3731,Etomidate,33125-97-2,2933.21.90,NVE
Etonogestrel,3738,Etonogestrel,54048-10-1,2937.23.99,NVE
Etoposídeo,3741,Etoposide,33419-42-0,2938.90.90,NVE
Etoricoxibe  ,3745,Etoricoxib,202409-33-4,2933.39.29,NVE
Etossuximida  ,3747,Ethosuximide,77-67-8,2925.19.90,NVE
Exametazima (99m Tc),9737,Technetium Tc 99m Exametazime,n.d.,2844.40.90,NVE
Exemestano,3774,Exemestane,107868-30-4,2937.90.90,NVE
Famotidina,3785,Famotidine,76824-35-6,2934.10.90,NVE
Fanciclovir,3792,Famciclovir,104227-87-4,2933.59.49,NVE
Fedrilato,3825,Fedrilate,23271-74-1,2934.99.99,NVE
Felipressina,3829,Felypressin,56-59-7,2937.90.90,NVE
Felodipino,3830,Felodipine,72509-76-3,2933.39.99,NVE
Femprobamato  ,3845,Phenprobamate,673-31-4,2924.29.39,NVE
Femprocumona,3846,Phenprocoumone,435-97-2,2932.20.00,NVE
Fempropionato de Dexametasona,2820,Dexamethasone Phenylpropionate,1879-72-7,2937.22.90,NVE
Fempropionato de Estradiol,3604,Estradiol Phenpropionate,26443-03-8,2937.23.42,NVE
Fempropionato de Testosterona  ,8455,Testosterone Phenylpropionate,1255-49-8,2937.29.90,NVE
Fenacetina,3856,Phenacetine,62-44-2,2924.29.99,NVE
Fenazona,3876,Phenazone,60-80-0,2933.11.90,NVE
Fenazopiridina,3877,Phenazopyridine,94-78-0,2933.39.99,NVE
Fenclofós,3887,Fenclofos,299-84-3,2920.19.90,NVE
Fendilina,3890,Fendiline,13042-18-7,2921.49.90,NVE
Fenelzina  ,3898,Phenelzine,51-71-8,2928.00.90,NVE
Fenformina,3914,Phenformine,114-86-3,2925.29.90,NVE
Fenilalanina,3919,Phenylalanine,63-91-2,2922.49.90,NVE
Fenilbutazona,3920,Phenylbutazone,50-33-9,2933.19.19,NVE
Fenilbutazona Cálcica,3921,Phenylbutazone Calcium,70145-60-7,2933.19.11,NVE
Fenilbutazona Sódica,3923,Phenylbutazone Sodium,129-18-0,2933.19.19,NVE
Fenilefrina,3924,Phenylephrine,59-42-7,2922.50.19,NVE
Feniltoloxamina,3933,Phenyltoloxamine,92-12-6,2922.19.99,NVE
Feniprazina  ,3942,Pheniprazine,55-52-7,2928.00.90,NVE
Feniramina,3947,Pheniramine,86-21-5,2933.39.99,NVE
Fenitoína  ,3953,Phenytoin,57-41-0,2933.21.21,NVE
Fenitoína Sódica  ,3954,Phenytoin Sodium,630-93-3,2933.21.21,NVE
Fenobarbital  ,3960,Phenobarbital,50-06-6,2933.53.40,NVE
Fenobarbital Sódico  ,3962,Phenobarbital Sodium,57-30-7,2933.53.40,NVE
Fenofibrato,3967,Fenofibrate,49562-28-9,2918.99.91,NVE
Fenoprofeno,3979,Fenoprofen,31879-05-7,2918.99.99,NVE
Fenoprofeno Cálcico,n.d.,Fenoprofen Calcium,53746-45-5,2918.99.99,NVE
Fenoterol,3981,Fenoterol,13392-18-2,2922.50.99,NVE
Fenotiazina,3984,Phenothiazine,92-84-2,2934.30.90,NVE
Fenoxazolina,3987,Fenoxazoline,4846-91-7,2933.29.99,NVE
Fenoximetilpenicilina,3992,Phenoxymethylpenicillin,87-08-1,2941.10.39,NVE
Fenoximetilpenicilina Benzatina,3993,Phenoxymethylpenicillin Benzathine,5928-84-7,2941.10.39,NVE
Fenoximetilpenicilina Potássica,3996,Phenoxymethylpenicillin Potassium,132-98-9,2941.10.31,NVE
Fentanila  ,4004,Fentanyl,437-38-7,2933.33.63,NVE
Fentiazaco,4009,Fentiazac,18046-21-4,2934.10.10,NVE
Fentiazaco Cálcico,4010,Fentiazac Calcium,85721-24-0,2934.10.90,NVE
Fenticonazol,4013,Fenticonazole,72479-26-6,2933.29.29,NVE
Fentolamina,4015,Phentolamine,50-60-2,2933.29.99,NVE
Ferrocolinato,4026,Ferrocholinate,1336-80-7,2923.10.00,NVE
Fexofenadina,4037,Fexofenadine,83799-24-0,2933.39.39,NVE
Finasterida,4055,Finasteride,98319-26-7,2937.29.90,NVE
Fitomenadiona,4060,Phytomenadione,84-80-0,2936.29.40,NVE
Flavoxato,4065,Flavoxate,15301-69-6,2934.99.39,NVE
Floctafenina,4077,Floctafenine,23779-99-9,2933.49.90,NVE
Flucitosina,4106,Flucytosine,2022-85-7,2933.59.99,NVE
Fluconazol,4109,Fluconazole,86386-73-4,2933.99.69,NVE
Fludarabina,4112,Fludarabine,21679-14-1,2934.99.99,NVE
Fludiazepam  ,4115,Fludiazepam,3900-31-0,2933.91.31,NVE
Fludrocortisona,4118,Fludrocortisone,127-31-1,2937.22.90,NVE
Fludroxicortida,4120,Fludroxycortide,1524-88-5,2937.22.90,NVE
Flufenamato de Alumínio,193,Aluminum Flufenamate,61891-34-7,2922.49.90,NVE
Flufenazina  ,4121,Fluphenazine,69-23-8,2934.30.90,NVE
Flumazenil  ,4134,Flumazenil,78755-81-4,2933.99.20,NVE
Flumetasona,4139,Flumetasone,2135-17-3,2937.22.90,NVE
Flunarizina,4149,Flunarizine,52468-60-7,2933.59.14,NVE
Flunisolida Anidra,4152,Flunisolide Anhydrous,3385-03-3,2937.22.90,NVE
Flunitrazepam  ,4154,Flunitrazepam,1622-62-4,2933.91.32,NVE
Fluocinolona Acetonida,4159,Fluocinolone Acetonide,67-73-2,2937.22.90,NVE
Fluocinonida,4160,Fluocinonide,356-12-7,2937.22.90,NVE
Fluocortolona,4162,Fluocortolone,152-97-6,2937.22.39,NVE
Fluoreto de Sódio,4170,Sodium Fluoride,7681-49-4,2826.19.90,NVE
Fluoreto de Sódio (F 18),9738,Sodium Fluoride 18 F,22554-99-0,2844.40.90,NVE
Fluormetolona,4172,Fluorometholone,426-13-1,2937.22.90,NVE
Fluoruracila,4174,Fluorouracil,51-21-8,2933.59.23,NVE
Fluoxetina  ,4176,Fluoxetine,54910-89-3,2922.19.19,NVE
Fluoximesterona  ,4178,Fluoxymesterone,76-43-7,2937.29.90,NVE
Flupentixol  ,4181,Flupentixol,2709-56-0,2934.99.99,NVE
Flupirtina,4188,Flupirtine,56995-20-1,2933.39.89,NVE
Fluprednideno,4192,Fluprednidene,2193-87-5,2937.22.90,NVE
Fluprednisolona,4195,Fluprednisolone,53-34-9,2937.22.90,NVE
Flurazepam  ,4206,Flurazepam,17617-23-1,2933.91.33,NVE
Flurbiprofeno,4209,Flubiprofen,5104-49-4,2916.39.90,NVE
Flutamida,4220,Flutamide,13311-84-7,2924.29.62,NVE
Fluticasona,4224,Fluticasone,90566-53-3,2937.22.90,NVE
Flutrimazol,4230,Flutrimazole,119006-77-8,2933.29.99,NVE
Fluvastatina,4232,Fluvastatin,93957-54-1,2933.99.19,NVE
Fluvastatina Sódica,4233,Fluvastatin Sodium,93957-55-2,2933.99.19,NVE
Fluvoxamina  ,4234,Fluvoxamine,54739-18-3,2928.00.90,NVE
Folato de Sódio,195,Sodium Folate,6484-89-5,2936.29.11,NVE
Folinato de Cálcio,9444,Calcium Folinate,6035-45-6,2936.29.19,NVE
Folinato de Cálcio Anidro,197,Calcium Folinate Anhydrous,1492-18-8,2936.29.19,NVE
Fondaparinux Sódico,4256,Fondaparinux Sodium,114870-03-0,2932.99.99,NVE
Formestano,4262,Formestane,566-48-3,2914.40.99,NVE
Formoterol,4268,Formoterol,73573-87-2,2924.29.99,NVE
Fosamprenavir  ,4270,Fosamprenavir,226700-79-4,2935.90.29,NVE
Fosamprenavir Cálcico  ,4271,Fosamprenavir Calcium,226700-81-8,2935.90.29,NVE
Fosamprenavir Sódico  ,11169,Fosamprenavir Sodium,226700-80-7,2935.90.29,NVE
Foscarnete Sódico,4274,Foscarnet Sodium,63585-09-1,2931.39.99,NVE
Fosfato Crômico (32 P),9739,Chromic Phosphate P 32,24381-60-0,2844.40.90,NVE
Fosfato de Codeína Anidro  ,2557,Codeine Phosphate Anhydrous,52-28-8,2939.11.22,NVE
Fosfato de Disopiramida  ,3141,Disopyramide Phosphate,22059-60-5,2933.33.99,NVE
Fosfato de Fludarabina,4113,Fludarabine Phosphate,75607-67-9,2934.99.99,NVE
Fosfato de Levamisol,5226,Levamisole Phosphate,32093-35-9,2934.99.53,NVE
Fosfato de Piperazina,7104,Piperazine Phosphate,1951-97-9,2933.59.15,NVE
Fosfato de Piridoxal,7164,Pyridoxal Phosphate,54-47-7,2936.25.90,NVE
Fosfato de Riboflavina,7702,Riboflavin Monophosphate,146-17-8,2936.23.90,NVE
Fosfato de Tetraciclina,8466,Tetracycline Phosphate Complex,1336-20-5,2941.30.90,NVE
Fosfato de Tetramisol,8477,Tetramisole Phosphate,75656-48-3,2934.99.59,NVE
Fosfato de Tiamina,8513,Thiamine Phosphate,532-40-1,2936.22.90,NVE
Fosfato Dissódico de Betametasona,1218,Betamethasone Disodium Phosphate,151-73-5,2937.22.90,NVE
Fosfato Dissódico de Dexametasona,2821,Dexamethasone Disodium Phosphate,2392-39-4,2937.22.90,NVE
Fosfato Dissódico de Hidrocortisona,4669,Hydrocortisone Disodium Phosphate,6000-74-4,2937.29.90,NVE
Fosfato Sódico de Estramustina,3614,Estramustine Disodium Phosphate,52205-73-9,2924.29.39,NVE
Fosfato Sódico de Metilprednisolona,5815,Methylprednisolone Sodium Phosphate,5015-36-1,2937.29.90,NVE
Fosfato Sódico de Prednisolona,7337,Prednisolone Sodium Phosphate,125-02-0,2937.29.90,NVE
Fosfato Sódico de Riboflavina,7703,Riboflavin 5'-(Sodium Hydrogen Phosphate),130-40-5,2936.23.20,NVE
Fosfato Sódico de Riboflavina Di-Hidratado,11222,Riboflavin Monophosphate Monosodium,6184-17-4,2936.23.20,NVE
Fosfenitoína  ,4285,Fosphenytoin,93390-81-9,2933.21.90,NVE
Fosfomicina,4289,Fosfomycin,23155-02-4,2941.90.99,NVE
Fosfomicina Cálcica,4290,Fosfomycin Calcium,26016-98-8,2941.90.99,NVE
Fosinopril,4299,Fosinopril,98048-97-6,2933.99.99,NVE
Fosinopril Sódico,4300,Fosinopril Sodium,88889-14-9,2933.99.49,NVE
Fotemustina,4308,Fotemustine,92118-27-9,2931.39.18,NVE
Framicetina,4313,Framycetin,119-04-0,2941.90.49,NVE
Ftalilsulfacetamida,4326,Phthalylsulfacetamide,131-69-1,2935.90.29,NVE
Ftalilsulfatiazol,4324,Phthalylsulfathiazole,85-73-4,2935.90.22,NVE
Fulvestranto,4334,Fulvestrant,129453-61-8,2930.90.99,NVE
Fumarato de Benciclano,1093,Bencyclane Fumarate,14286-84-1,2922.19.99,NVE
Fumarato de Cetotifeno,1968,Ketotifen Fumarate,34580-14-8,2934.99.99,NVE
Fumarato de Clemastina,2208,Clemastine Fumarate,14976-57-9,2933.99.41,NVE
Fumarato de Formoterol,9574,Formoterol Fumarate,43229-80-7,2924.29.99,NVE
Fumarato de Formoterol Di-Hidratado,4269,Formoterol Fumarate Dihydrate,183814-30-4,2924.29.99,NVE
Fumarato de Ibutilida,4780,Ibutilide Fumarate,122647-32-9,2935.90.99,NVE
Fumarato de Metoprolol,5875,Metoprolol Fumarate,80274-67-5,2922.19.89,NVE
Fumarato de Tenofovir Disoproxila  ,8389,Tenofovir Disoproxil Fumarate,202138-50-9,2933.59.49,NVE
Fumarato Ferroso,4336,Ferrous Fumarate,141-01-5,2917.19.30,NVE
Furazolidona,4343,Furazolidone,67-45-8,2934.99.24,NVE
Furoato de Mometasona,6061,Mometasone Furoate,83919-23-7,2937.22.90,NVE
Furosemida,4361,Furosemide,54-31-9,2935.90.21,NVE
Fusafungina,4367,Fusafungine,1393-87-9,2941.90.99,NVE
Fusidato de Sódio,218,Sodium Fusidate,751-94-0,2941.90.99,NVE
Gabapentina  ,4369,Gabapentin,60142-96-3,2922.49.90,NVE
Galantamina  ,4380,Galantamine,357-70-0,2939.80.00,NVE
Galato de Bismuto Monobásico,n.d.,"Bismuth Gallate, Basic",22650-86-8,2918.29.30,NVE
Ganciclovir,4394,Ganciclovir,82410-32-0,2933.59.49,NVE
Ganciclovir Sódico,4395,Ganciclovir Sodium,107910-75-8,2933.59.49,NVE
Ganirrelix,4400,Ganirelix,124904-93-4,2937.90.90,NVE
Gatifloxacino,4407,Gatifloxacin,160738-57-8,2933.59.19,NVE
Gencitabina,4419,Gemcitabine,95058-81-4,2934.99.29,NVE
Genfibrozila,4421,Gemfibrozil,25812-30-0,2918.99.99,NVE
Gentamicina,4422,Gentamicin,1403-66-3,2941.90.49,NVE
Gestodeno,4430,Gestodene,60282-87-3,2937.23.92,NVE
Gestrinona,4434,Gestrinone,16320-04-0,2937.23.99,NVE
Glatirâmer,n.d.,Glatiramer,28704-27-0,2922.49.90,NVE
Glibenclamida,4451,Glibenclamide,10238-21-8,2935.90.92,NVE
Glibionato de Cálcio,4453,Calcium Glubionate,12569-38-9,2932.99.99,NVE
Glicametacina,4513,Glucametacin,52443-21-7,2933.99.99,NVE
Gliceptato de Sódio,4461,Sodium Gluceptate,13007-85-7,2918.19.90,NVE
Glicerofosfato de Cálcio,4462,Calcium Glycerophosphate,27214-00-2,2919.90.90,NVE
Glicerofosfato de Magnésio,4465,Magnesium Glycephosphate,927-20-8,2919.90.90,NVE
Glicerofosfato de Manganês,4466,Manganese Glycerophosphate,1320-46-3,2919.90.90,NVE
Glicerofosfato de Potássio,4467,Potassium Glycerophosphate,1319-69-3,2919.90.90,NVE
Glicerofosfato de Sódio Anidro,4468,Sodium Glycerophosphate Anhydrous,1334-74-3,2919.90.90,NVE
Glicina,4472,Glycine,56-40-6,2922.49.10,NVE
Glicinato Sódico de Teofilina,8398,Theophylline Sodium Glycinate,8000-10-0,2939.59.90,NVE
Gliclazida,4474,Gliclazide,21187-98-4,2935.90.99,NVE
Gliconato de Cálcio,4478,Calcium Gluconate,299-28-5,2918.16.10,NVE
Glimepirida,4494,Glimepiride,93479-97-1,2935.90.19,NVE
Glipizida,4499,Glipizide,29094-61-9,2935.90.99,NVE
Glubionato de Cálcio,n.d.,Calcium Glubionate,12569-38-9,2932.99.99,NVE
Glucagon,4510,Glucagon,9007-92-5,2937.90.90,NVE
Glutamato de Sódio Monobásico,231,Monosodium Glutamate,142-47-2,2922.42.20,NVE
Glutamina,4518,Glutamine,56-85-9,2924.19.99,NVE
Gonadorrelina,4524,Gonadorelin,33515-09-2,2937.90.90,NVE
Gonadotropina Coriônica,4527,Chorionic Gonadotrophin,9002-61-3,2937.19.20,NVE
Gonadotropina Sérica,4528,Serum Gonadotrophin,9002-70-4,2937.19.30,NVE
Gosserrelina,4530,Goserelin,65807-02-5,2937.90.90,NVE
Gramicidina,4532,Gramicidin,1405-97-6,2941.90.99,NVE
Granisetrona,4534,Granisetron,109889-09-0,2933.39.99,NVE
Griseofulvina,4536,Griseofulvin,126-07-8,2941.90.91,NVE
Guaifenesina,4545,Guaifenesin,93-14-1,2909.49.10,NVE
Guanabenzo,4551,Guanabenz,5051-62-7,2928.00.90,NVE
Halcinonida,4577,Halcinonide,3093-35-4,2937.22.90,NVE
Haloperidol  ,4589,Haloperidol,52-86-8,2933.39.15,NVE
Halotano  ,4596,Halothane,151-67-7,2903.79.31,NVE
Helicina,4600,Helicin,618-65-5,2938.90.90,NVE
Hemifumarato de Quetiapina,7539,Quetiapine Hemifumarate,111974-72-2,2933.99.39,NVE
Hemissuccinato de Estradiol,3605,Estradiol Hemisuccinate,7698-93-3,2937.23.41,NVE
Hemissuccinato de Prednisolona,7338,Prednisolone Hemisuccinate,2920-86-7,2937.29.90,NVE
Hemitartarato de Epinefrina,3442,Epinephrine Bitartrate,51-42-3,2937.90.90,NVE
Hemitartarato de Hidrocodona  ,n.d.,Hydrocodone Bitartrate,34195-34-1,2939.11.52,NVE
Hemitartarato de Metaraminol,5745,Metaraminol Bitartrate,33402-03-8,2939.80.00,NVE
Hemitartarato de Norepinefrina,n.d.,Norepinephrine Bitartrate,69815-49-2,2937.90.90,NVE
Hemitartarato de Norepinefrina Anidro,6487,Norepinephine Bitartrate Anhydrous,51-40-1,2937.90.90,NVE
Hemitartarato de Vinorelbina,9164,Vinorelbine Bitartrate,125317-39-7,2939.80.00,NVE
Heptaminol,4613,Heptaminol,372-66-7,2922.19.99,NVE
Hesperidina,4619,Hesperidin,520-26-3,2938.90.90,NVE
Hexamidina,4628,Hexamidine,3811-75-4,2925.29.90,NVE
Hexetidina,4634,Hexetidine,141-94-6,2933.59.99,NVE
Hexilresorcinol,4636,Hexylresorcinol,136-77-6,2907.29.00,NVE
Hiclato de Doxiciclina,3222,Doxycycline Hyclate,24390-14-5,2941.30.90,NVE
Hidralazina,4646,Hydralazine,86-54-4,2933.99.99,NVE
Hidroclorotiazida,4652,Hydrochlorothiazide,58-93-5,2935.90.29,NVE
Hidrocortisona,4664,Hydrocortisone,50-23-7,2937.21.20,NVE
Hidroxicloroquina,4690,Hydroxychloroquine,118-42-3,2933.49.90,NVE
Hidroxidiona  ,4692,Hydroxydione,303-01-5,2917.19.90,NVE
Hidroxinaftoato de Befênio,4702,Bephenium Hydroxynaphthoate,3818-50-6,2923.90.90,NVE
Hidroxiprogesterona,4708,Hydroxyprogesterone,68-96-2,2937.23.99,NVE
Hidroxiquinolina,4712,Hydroxyquinoline,148-24-3,2933.49.90,NVE
Hidroxiureia,4689,Hydroxyurea,127-07-1,2928.00.90,NVE
Hidroxizina,4716,Hydroxyzine,68-88-2,2933.59.19,NVE
Hidroxocobalamina,4719,Hydroxocobalamin,13422-51-0,2936.26.30,NVE
Hiosciamina,4726,Hyoscyamine,101-31-5,2939.99.90,NVE
Hipofosfito de Tiabendazol,8495,Thiabendazole Hypophosphite,28558-32-9,2934.10.90,NVE
Histamina,4737,Histamine,51-45-6,2933.29.99,NVE
Histidina,4740,Histidine,71-00-1,2933.29.92,NVE
Homatropina,4745,Homatropine,87-00-3,2939.80.00,NVE
Homofenazina  ,4751,Homofenazine,3833-99-6,2934.30.90,NVE
Homossalato,4753,Homosalate,118-56-9,2918.23.00,NVE
Ibopamina,4760,Ibopamine,66195-31-1,2922.29.90,NVE
Ibuprofeno,4766,Ibuprofen,15687-27-1,2916.39.20,NVE
Idarrubicina,4790,Idarubicin,58957-92-9,2941.90.49,NVE
Idoxuridina,4797,Idoxuridine,54-42-2,2934.99.99,NVE
Ifosfamida,4807,Ifosfamide,3778-73-2,2934.99.99,NVE
Imiclopazina  ,4824,Imiclopazine,7224-08-0,2934.30.90,NVE
Imipeném,4835,Imipenem,74431-23-5,2941.90.99,NVE
Imipramina  ,4836,Imipramine,50-49-7,2933.99.39,NVE
Imipraminóxido  ,4840,Imipraminoxide,6829-98-7,2933.99.39,NVE
Indapamida,4875,Indapamide,26807-65-8,2935.90.99,NVE
Indinavir Anidro,4882,Indinavir Anhydrous,150378-17-9,2933.39.99,NVE
Indometacina,4889,Indometacin,53-86-1,2933.99.99,NVE
Indometacina Sódica,4890,Indometacin Sodium,74252-25-8,2933.99.99,NVE
Inosina,4906,Inosine,58-63-9,2934.99.99,NVE
Inositol,9460,Inositol,87-89-8,2906.13.00,NVE
Insulina,4921,Insulin,9004-10-8,2937.12.00,NVE
Insulina Asparte,4910,Insulin Aspart,116094-23-6,2937.12.00,NVE
Insulina Glargina,4915,Insulin Glargine,160337-95-1,2937.12.00,NVE
Insulina Humana,4918,Insulin Human,11061-68-0,2937.12.00,NVE
Insulina Lispro,4920,Insulin Lispro,133107-64-9,2937.12.00,NVE
Insulina Neutra,4908,Insulin,9004-10-8,2937.12.00,NVE
Iobenguano (123 I),9740,Iobenguane I 123,139755-80-9,2844.40.90,NVE
Iobenguano (131 I),4932,Iobenguane I 131,77679-27-7,2844.40.90,NVE
Iobitridol,4933,Iobitridol,136949-58-1,2924.29.99,NVE
Iodamida Meglumina,4935,Meglumine Iodamide,18656-21-8,2924.29.49,NVE
Iodeto de Isopropamida,5101,Isopropamide Iodide,71-81-8,2924.29.49,NVE
Iodeto de Sódio (123 I),9741,Sodium Iodide I 123,41927-88-2,2844.40.90,NVE
Iodeto de Suxametônio,8244,Suxamethonium Iodide,541-19-5,2923.90.90,NVE
Iodipamida Sódica (131 I),9742,Iodipamide Sodium I 131,24360-85-8,2844.40.90,NVE
Iodixanol,4982,Iodixanol,92339-11-2,2924.29.99,NVE
Iodoipurato de Sódio (123 I),9743,Iodohippurate Sodium I 123,56254-07-0,2844.40.90,NVE
Iodoipurato de Sódio (125 I),9744,Iodohippurate Sodium I 125,7230-65-1,2844.40.90,NVE
Ioexol,4993,Iohexol,66108-95-0,2924.29.99,NVE
Ioglicamato de Meglumina,5593,Meglumine Ioglycamate,14317-18-1,2922.19.99,NVE
Ioimbina,5000,Yohimbine,146-48-5,2939.80.00,NVE
Iomazenil (123 I),9745,Iomazenil I 123,127396-36-5,2844.40.90,NVE
Iopamidol,5008,Iopamidol,60166-93-0,2924.29.99,NVE
Iopidol,5010,Iopydol,5579-92-0,2933.39.99,NVE
Iopidona,5011,Iopydone,5579-93-1,2933.39.99,NVE
Iopromida,5013,Iopromide,73334-07-3,2924.29.99,NVE
Iotalamato de Meglumina,5594,Iotalamate Meglumine,13087-53-1,2924.29.49,NVE
Ioversol,5020,Ioversol,87771-40-2,2924.29.99,NVE
Ioxaglato de Meglumina E Sódio,n.d.,Meglumine Sodium Ioxaglate,76820-74-1,2924.29.49,NVE
Ioxilana,5021,Ioxilan,107793-72-6,2924.29.99,NVE
Ioxitalamato de Sódio,269,Ioxitalamic Acid Sodium Salt,33954-26-6,2924.29.49,NVE
Ipriflavona,5032,Ipriflavone,35212-22-7,2932.99.99,NVE
Iproclozida  ,5034,Iproclozide,3544-35-2,2928.00.90,NVE
Irbesartana,5049,Irbesartan,138402-11-6,2933.29.99,NVE
Irinotecano,5051,Irinotecan,97682-44-5,2939.80.00,NVE
Isetionato de Hexamidina,4629,Hexamidine Isetionate,659-40-5,2925.29.90,NVE
Isetionato de Pentamidina,6928,Pentamidine Isetionate,140-64-7,2925.29.40,NVE
Isocaproato de Testosterona  ,8457,Testosterone Isocaproate,15262-86-9,2937.29.90,NVE
Isocarboxazida  ,5074,Isocarboxazid,59-63-2,2934.99.99,NVE
Isoconazol,5075,Isoconazole,27523-40-6,2933.29.29,NVE
Isoflurano  ,5082,Isoflurane,26675-46-7,2909.19.90,NVE
Isoleucina,5083,Isoleucine,73-32-5,2922.49.90,NVE
Isometepteno,5089,Isometheptene,503-01-5,2921.19.99,NVE
Isoniazida,5092,Isoniazid,54-85-3,2933.39.92,NVE
Isoprenalina,5096,Isoprenaline,7683-59-2,2922.50.99,NVE
Isossorbida,5103,Isosorbide,652-67-5,2932.99.99,NVE
Isotretinoína  ,5110,Isotretinoin,4759-48-2,2936.21.19,NVE
Isoxsuprina,5114,Isoxsuprine,395-28-8,2922.50.99,NVE
Isradipino,5117,Isradipine,75695-93-1,2934.99.99,NVE
Itraconazol,5122,Itraconazole,84625-61-6,2934.99.99,NVE
Ivermectina,5128,Ivermectin,70288-86-7,2932.20.00,NVE
Lacidipino,5136,Lacidipine,103890-78-4,2933.39.99,NVE
Lactato de Anrinona,809,Amrinone Lactate,75898-90-7,2933.79.90,NVE
Lactato de Biperideno  ,1284,Biperiden Lactate,7085-45-2,2933.39.32,NVE
Lactato de Cálcio Anidro,275,Calcium Lactate Anhydrous,814-80-2,2918.11.00,NVE
Lactato de Ciprofloxacino,2139,Ciprofloxacin Lactate,97867-33-9,2933.59.19,NVE
Lactato de Etacridina,3636,Ethacridine Lactate,6402-23-9,2933.99.99,NVE
Lactato de Isoxsuprina,5116,Isoxsuprine Lactate,58379-21-8,2922.50.99,NVE
Lactato de Milrinona,5964,Milrinone Lactate,100286-97-3,2933.39.99,NVE
Lactato de Prata,n.d.,Silver Lactate,128-00-7,2843.29.90,NVE
Lactato de Sódio,278,Sodium Lactate,72-17-3,2918.11.00,NVE
Lactobionato de Cálcio,5141,Calcium Lactobionate,5001-51-4,2940.00.22,NVE
Lactobionato de Eritromicina,3496,Erythromycin Lactobionate,3847-29-8,2941.50.20,NVE
Lactofosfato de Cálcio,5142,Calcium Lactophosphate,7546-28-3,2919.90.50,NVE
Lactogliconato de Cálcio,5143,Calcium Lactogluconate,52080-72-5,2940.00.94,NVE
Lactulose,5147,Lactulose,4618-18-2,2940.00.99,NVE
Lamivudina,5152,Lamivudine,134678-17-4,2934.99.93,NVE
Lamotrigina  ,5153,Lamotrigine,84057-84-1,2933.69.19,NVE
Lanreotida,5163,Lanreotide,108736-35-2,2934.99.99,NVE
