Nomenclatura  DCB (Original),Número DCB,Nomenclatura  DCI - INN,CAS Number,NCM,NVE
Cloridrato de Trimetobenzamida,8920,Trimethobenzamide Hydrochloride,554-92-7,2924.29.59,NVE
Cloridrato de Tripelenamina,8942,Tripelennamine Hydrochloride,154-69-8,2933.39.99,NVE
Cloridrato de Triprolidina Anidro,n.d.,Triprolidine Hydrochloride Anhydrous,550-70-9,2933.39.99,NVE
Cloridrato de Tromantadina,8968,Tromantadine Hydrochloride,41544-24-5,2924.29.99,NVE
Cloridrato de Tropisetrona,8982,Tropisetron Hydrochloride,105826-92-4,2939.80.00,NVE
Cloridrato de Tulobuterol,9000,Tulobuterol Hydrochloride,56776-01-3,2922.19.99,NVE
Cloridrato de Valaciclovir,9069,Valaciclovir Hydrochloride,124832-27-5,2933.59.49,NVE
Cloridrato de Valganciclovir,9075,Valganciclovir Hydrochloride,175865-59-5,2933.59.49,NVE
Cloridrato de Vancomicina,9089,Vancomycin Hydrochloride,1404-93-9,2941.90.89,NVE
Cloridrato de Venlafaxina  ,9113,Venlafaxine Hydrochloride,99300-78-4,2915.90.90,NVE
Cloridrato de Verapamil,9119,Verapamil Hydrochloride,152-11-4,2926.90.12,NVE
Cloridrato de Xilometazolina,9213,Xylometazoline Hydrochloride,1218-35-5,2933.29.99,NVE
Cloridrato de Ziprasidona  ,9417,Ziprasidone Hydrochloride,138982-67-9,2934.20.90,NVE
Cloridrato de Ziprasidona Anidro  ,9275,Ziprasidone Hydrochloride Anhydrous,122883-93-6,2934.20.90,NVE
Cloridrato Do Palmitato de Clindamicina,2231,Clindamycin Palmitate Hydrochloride,25507-04-4,2941.90.29,NVE
Clormerodrina (203 Hg),9734,Chlormerodrin Hg 203,2042-50-4,2844.40.90,NVE
Clormetina,2469,Chlormethine,51-75-2,2921.19.91,NVE
Clornafazina,2474,Chlornaphazine,494-03-1,2921.45.00,NVE
Clorocresol,2475,Chlorocresol,59-50-7,2908.19.11,NVE
Cloroquina,2487,Chloroquine,54-05-7,2933.49.90,NVE
Clorotrianiseno,2495,Chlorotrianisene,569-57-3,2909.30.29,NVE
Clorpromazina  ,2502,Chlorpromazine,50-53-3,2934.30.90,NVE
Clorpropamida,2505,Chlorpropamide,94-20-2,2935.90.99,NVE
Clorprotixeno  ,2506,Chlorprothixene,113-59-7,2934.99.99,NVE
Clorquinaldol,2508,Chlorquinaldol,72-80-0,2933.49.90,NVE
Clortalidona,2510,Chlortalidone,77-36-1,2935.90.12,NVE
